egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry,geometry_wkt,longitude,latitude
101170303,1004,1020,1110,3102,Gonten,AI,POINT (9.343656135078295 47.32718315207466),POINT (2743992.245 1243560.677),9.343656135078295,47.32718315207466
101170401,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.431940417496188 47.322810263347165),POINT (2750676.192 1243240.457),9.431940417496188,47.322810263347165
101170406,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.433897759127293 47.32356577116044),POINT (2750821.981 1243328.189),9.433897759127293,47.32356577116044
101170408,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.457262180053881 47.296881176456026),POINT (2752664.04 1240407.559),9.457262180053881,47.296881176456026
101170413,1004,1040,1251,3112,Schwende-Rüte,AI,POINT (9.436269380962717 47.31145963006614),POINT (2751035.484 1241987.223),9.436269380962717,47.31145963006614
101170423,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.437505087427864 47.311279846403),POINT (2751129.401 1241969.621),9.437505087427864,47.311279846403
101170424,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.434896237067843 47.324026161134285),POINT (2750896.137 1243381.279),9.434896237067843,47.324026161134285
101170427,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.43671868836668 47.31136335715047),POINT (2751069.72 1241977.388),9.43671868836668,47.31136335715047
101170555,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (9.366322977272139 47.36453806280351),POINT (2745603.137 1247754.442),9.366322977272139,47.36453806280351
101170565,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (9.367773120385618 47.36579139223173),POINT (2745709.221 1247896.44),9.367773120385618,47.36579139223173
101170577,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (9.365875976327231 47.36438641473118),POINT (2745569.795 1247736.757),9.365875976327231,47.36438641473118
101170578,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (9.393173916320794 47.377257803172796),POINT (2747595.599 1249218.395),9.393173916320794,47.377257803172796
101170579,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (9.397432428864962 47.3570560463233),POINT (2747973.188 1246981.045),9.397432428864962,47.3570560463233
101170589,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (9.368184743324823 47.36969005859815),POINT (2745729.644 1248330.535),9.368184743324823,47.36969005859815
101170591,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (9.368223783792688 47.36948305137116),POINT (2745733.158 1248307.599),9.368223783792688,47.36948305137116
101170594,1004,1030,1122,3104,Schlatt-Haslen,AI,POINT (9.368112140154558 47.37005458800266),POINT (2745723.165 1248370.917),9.368112140154558,47.37005458800266
101170596,1004,1020,1122,3104,Schlatt-Haslen,AI,POINT (9.368518098289512 47.36951913106501),POINT (2745755.283 1248312.156),9.368518098289512,47.36951913106501
101170603,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.41780232071554 47.32341842767731),POINT (2749606.003 1243280.992),9.41780232071554,47.32341842767731
101170604,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.41550131721347 47.321499349670496),POINT (2749437.483 1243063.31),9.41550131721347,47.321499349670496
101170605,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.421839502517368 47.324854864556414),POINT (2749907.072 1243448.352),9.421839502517368,47.324854864556414
101170610,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (9.41814355369482 47.323394316639),POINT (2749631.859 1243278.963),9.41814355369482,47.323394316639
101170701,1004,1020,1110,3111,Oberegg,AI,POINT (9.551719386139666 47.39667144234664),POINT (2759507.077 1251686.473),9.551719386139666,47.39667144234664
101170702,1004,1020,1110,3111,Oberegg,AI,POINT (9.546855598976608 47.42297576548835),POINT (2759061.431 1254600.145),9.546855598976608,47.42297576548835
101170703,1004,1020,1110,3111,Oberegg,AI,POINT (9.516826127643125 47.398322294167265),POINT (2756868.913 1251799.59),9.516826127643125,47.398322294167265
101170706,1004,1020,1110,3111,Oberegg,AI,POINT (9.552388505852868 47.39664453289676),POINT (2759557.654 1251684.843),9.552388505852868,47.39664453289676
101170715,1004,1020,1110,3111,Oberegg,AI,POINT (9.551857269613604 47.42671165956302),POINT (2759427.517 1255025.52),9.551857269613604,47.42671165956302
101170719,1004,1020,1110,3111,Oberegg,AI,POINT (9.547255925965121 47.42325604362478),POINT (2759090.79 1254632.108),9.547255925965121,47.42325604362478
101170741,1004,1020,1110,3111,Oberegg,AI,POINT (9.552131027936415 47.39622650879746),POINT (2759539.475 1251637.859),9.552131027936415,47.39622650879746
101170743,1004,1020,1110,3111,Oberegg,AI,POINT (9.608611882536719 47.43511051758489),POINT (2763682.325 1256075.879),9.608611882536719,47.43511051758489
101170744,1004,1020,1110,3111,Oberegg,AI,POINT (9.54656418104787 47.42269538884422),POINT (2759040.287 1254568.392),9.54656418104787,47.42269538884422
101170746,1007,1020,1110,3111,Oberegg,AI,POINT (9.590576301823527 47.41879447936124),POINT (2762372 1254225),9.590576301823527,47.41879447936124
101170748,1004,1020,1110,3111,Oberegg,AI,POINT (9.609894677877943 47.434847542738666),POINT (2763779.871 1256049.329),9.609894677877943,47.434847542738666
101170758,1004,1020,1110,3111,Oberegg,AI,POINT (9.54694499129698 47.42361730121856),POINT (2759066.257 1254671.629),9.54694499129698,47.42361730121856
101170760,1004,1020,1110,3111,Oberegg,AI,POINT (9.552756443894031 47.396501397399085),POINT (2759585.85 1251669.683),9.552756443894031,47.396501397399085
101170761,1004,1020,1110,3111,Oberegg,AI,POINT (9.547124493342581 47.42311352149723),POINT (2759081.302 1254616.001),9.547124493342581,47.42311352149723
101170763,1004,1020,1110,3111,Oberegg,AI,POINT (9.547160027320666 47.42282649639684),POINT (2759084.84 1254584.172),9.547160027320666,47.42282649639684
101170764,1004,1020,1110,3111,Oberegg,AI,POINT (9.551489061655811 47.39634285856434),POINT (2759490.679 1251649.485),9.551489061655811,47.39634285856434
101170765,1004,1020,1110,3111,Oberegg,AI,POINT (9.545580970280113 47.4230209932266),POINT (2758965.151 1254602.588),9.545580970280113,47.4230209932266
101170766,1004,1020,1110,3111,Oberegg,AI,POINT (9.551882174483302 47.396833765000785),POINT (2759518.876 1251704.845),9.551882174483302,47.396833765000785
101170775,1004,1020,1110,3111,Oberegg,AI,POINT (9.549668302540589 47.425352110199945),POINT (2759266.483 1254869.968),9.549668302540589,47.425352110199945
101170776,1004,1020,1110,3111,Oberegg,AI,POINT (9.54757821512113 47.42356421485287),POINT (2759114.179 1254667.013),9.54757821512113,47.42356421485287
101170778,1004,1020,1110,3111,Oberegg,AI,POINT (9.552230369922196 47.42647490898946),POINT (2759456.367 1254999.965),9.552230369922196,47.42647490898946
101275451,1004,1020,1110,3102,Gonten,AI,POINT (9.329591827687835 47.31462776317911),POINT (2742963.041 1242139.449),9.329591827687835,47.31462776317911
101275456,1004,1020,1110,3102,Gonten,AI,POINT (9.369024644115582 47.33536235170012),POINT (2745886.973 1244516.646),9.369024644115582,47.33536235170012
101275457,1004,1020,1110,3102,Gonten,AI,POINT (9.34339405088805 47.32716876609285),POINT (2743972.478 1243558.597),9.34339405088805,47.32716876609285
101275458,1004,1020,1110,3102,Gonten,AI,POINT (9.342853243285512 47.32722986837173),POINT (2743931.444 1243564.396),9.342853243285512,47.32722986837173
101275459,1004,1020,1110,3102,Gonten,AI,POINT (9.343029859792951 47.32708424198936),POINT (2743945.184 1243548.534),9.343029859792951,47.32708424198936
101275461,1004,1020,1121,3102,Gonten,AI,POINT (9.343622314471313 47.32697725584958),POINT (2743990.245 1243537.73),9.343622314471313,47.32697725584958
101275462,1004,1020,1110,3102,Gonten,AI,POINT (9.321453633599932 47.326268050264716),POINT (2742316.827 1243418.449),9.321453633599932,47.326268050264716
101275463,1004,1020,1110,3102,Gonten,AI,POINT (9.343882530485928 47.32729937943993),POINT (2744009.04 1243574.011),9.343882530485928,47.32729937943993
101275466,1004,1020,1110,3102,Gonten,AI,POINT (9.343377133873561 47.326960773298346),POINT (2743971.761 1243535.448),9.343377133873561,47.326960773298346
101275467,1004,1020,1110,3102,Gonten,AI,POINT (9.344106098734656 47.32742904064687),POINT (2744025.585 1243588.833),9.344106098734656,47.32742904064687
101275470,1004,1020,1110,3102,Gonten,AI,POINT (9.371248145176745 47.34496841830085),POINT (2746028.668 1245588.472),9.371248145176745,47.34496841830085
101275474,1004,1020,1110,3102,Gonten,AI,POINT (9.344780591302943 47.32809113586627),POINT (2744074.768 1243663.662),9.344780591302943,47.32809113586627
101275480,1004,1020,1110,3102,Gonten,AI,POINT (9.343098079988474 47.32731005665652),POINT (2743949.73 1243573.758),9.343098079988474,47.32731005665652
101275481,1004,1020,1110,3102,Gonten,AI,POINT (9.342994400239666 47.32750566313733),POINT (2743941.367 1243595.309),9.342994400239666,47.32750566313733
101275483,1004,1020,1110,3102,Gonten,AI,POINT (9.342724189299362 47.327429744182886),POINT (2743921.152 1243586.375),9.342724189299362,47.327429744182886
101275484,1004,1020,1110,3102,Gonten,AI,POINT (9.344403346041291 47.32771711846711),POINT (2744047.27 1243621.398),9.344403346041291,47.32771711846711
101275485,1004,1020,1121,3102,Gonten,AI,POINT (9.347569777181029 47.339453413956804),POINT (2744254.807 1244931.682),9.347569777181029,47.339453413956804
101275486,1004,1020,1110,3102,Gonten,AI,POINT (9.32117335372613 47.32500618451128),POINT (2742299.012 1243277.686),9.32117335372613,47.32500618451128
101275503,1004,1020,1122,3102,Gonten,AI,POINT (9.345069710937903 47.32693500845545),POINT (2744099.74 1243535.692),9.345069710937903,47.32693500845545
11528839,1004,1030,1122,3102,Gonten,AI,POINT (9.345731077160135 47.32743303846406),POINT (2744148.374 1243592.262),9.345731077160135,47.32743303846406
1712079,1004,1030,1110,3101,Appenzell,AI,POINT (9.412412787720815 47.32112988656071),POINT (2749205.095 1243016.367),9.412412787720815,47.32112988656071
1712080,1004,1020,1110,3101,Appenzell,AI,POINT (9.413140637835207 47.32183537224816),POINT (2749258.13 1243096.163),9.413140637835207,47.32183537224816
1712081,1004,1020,1121,3101,Appenzell,AI,POINT (9.412942726835034 47.3218902692438),POINT (2749243.019 1243101.888),9.412942726835034,47.3218902692438
1712082,1004,1020,1122,3101,Appenzell,AI,POINT (9.412501234097833 47.32187367687854),POINT (2749209.699 1243099.204),9.412501234097833,47.32187367687854
1712083,1004,1020,1110,3101,Appenzell,AI,POINT (9.412223009233676 47.322026982176084),POINT (2749188.243 1243115.714),9.412223009233676,47.322026982176084
1712084,1007,1020,1110,3101,Appenzell,AI,POINT (9.412461092746248 47.32243076168085),POINT (2749205.107 1243161.045),9.412461092746248,47.32243076168085
1712085,1004,1030,1110,3101,Appenzell,AI,POINT (9.411397269624612 47.32288715365943),POINT (2749123.432 1243209.748),9.411397269624612,47.32288715365943
1712086,1004,1020,1110,3101,Appenzell,AI,POINT (9.410442795769098 47.32457116357775),POINT (2749046.592 1243395.104),9.410442795769098,47.32457116357775
1712087,1004,1020,1121,3101,Appenzell,AI,POINT (9.410335974415915 47.32473265425001),POINT (2749038.068 1243412.85),9.410335974415915,47.32473265425001
1712090,1007,1020,1121,3101,Appenzell,AI,POINT (9.412284605003226 47.323063182988804),POINT (2749190 1243231),9.412284605003226,47.323063182988804
1712091,1004,1020,1110,3101,Appenzell,AI,POINT (9.41183804392407 47.32341696456709),POINT (2749155.262 1243269.472),9.41183804392407,47.32341696456709
1712092,1004,1020,1110,3101,Appenzell,AI,POINT (9.4124132803433 47.323482402390894),POINT (2749198.552 1243277.839),9.4124132803433,47.323482402390894
1712093,1004,1020,1110,3101,Appenzell,AI,POINT (9.411720162210834 47.323614445860315),POINT (2749145.801 1243291.197),9.411720162210834,47.323614445860315
1712094,1004,1020,1110,3101,Appenzell,AI,POINT (9.411619546029506 47.323613386802684),POINT (2749138.2 1243290.888),9.411619546029506,47.323613386802684
1712095,1004,1020,1121,3101,Appenzell,AI,POINT (9.411506598537688 47.32385163984605),POINT (2749128.998 1243317.154),9.411506598537688,47.32385163984605
1712096,1004,1020,1110,3101,Appenzell,AI,POINT (9.41134884722029 47.32404128224442),POINT (2749116.546 1243337.932),9.41134884722029,47.32404128224442
1712097,1004,1020,1110,3101,Appenzell,AI,POINT (9.411891650841715 47.32418950308565),POINT (2749157.153 1243355.438),9.411891650841715,47.32418950308565
1712098,1004,1020,1110,3101,Appenzell,AI,POINT (9.411541747096475 47.32438968451392),POINT (2749130.15 1243377.022),9.411541747096475,47.32438968451392
1712099,1004,1020,1110,3101,Appenzell,AI,POINT (9.411743408477253 47.324140457908335),POINT (2749146.087 1243349.705),9.411743408477253,47.324140457908335
1712100,1004,1020,1110,3101,Appenzell,AI,POINT (9.411883830670337 47.32450598830022),POINT (2749155.677 1243390.599),9.411883830670337,47.32450598830022
1712101,1004,1020,1110,3101,Appenzell,AI,POINT (9.412605501527239 47.32419376281792),POINT (2749211.089 1243357.269),9.412605501527239,47.32419376281792
1712102,1004,1020,1110,3101,Appenzell,AI,POINT (9.412186020322583 47.323998719129555),POINT (2749179.933 1243334.793),9.412186020322583,47.323998719129555
1712103,1004,1020,1110,3101,Appenzell,AI,POINT (9.412458904794624 47.32396504274355),POINT (2749200.65 1243331.569),9.412458904794624,47.32396504274355
1712104,1004,1020,1122,3101,Appenzell,AI,POINT (9.412190145810431 47.3242478537263),POINT (2749179.548 1243362.491),9.412190145810431,47.3242478537263
1712105,1004,1030,1122,3101,Appenzell,AI,POINT (9.409576121378082 47.32443695475657),POINT (2748981.47 1243378.541),9.409576121378082,47.32443695475657
1712106,1004,1020,1110,3101,Appenzell,AI,POINT (9.409411660869731 47.325254489747515),POINT (2748966.758 1243469.094),9.409411660869731,47.325254489747515
1712107,1004,1020,1110,3101,Appenzell,AI,POINT (9.409624107506367 47.3252050639995),POINT (2748982.951 1243464.004),9.409624107506367,47.3252050639995
1712108,1004,1020,1110,3101,Appenzell,AI,POINT (9.409184584924267 47.32541008022726),POINT (2748949.163 1243485.956),9.409184584924267,47.32541008022726
1712109,1004,1020,1121,3101,Appenzell,AI,POINT (9.408783513868496 47.325170992311705),POINT (2748919.521 1243458.621),9.408783513868496,47.325170992311705
1712110,1004,1020,1121,3101,Appenzell,AI,POINT (9.408558688080227 47.32524711570791),POINT (2748902.318 1243466.655),9.408558688080227,47.32524711570791
1712111,1004,1020,1110,3101,Appenzell,AI,POINT (9.408329245699148 47.325322939603026),POINT (2748884.767 1243474.647),9.408329245699148,47.325322939603026
1712112,1004,1020,1110,3101,Appenzell,AI,POINT (9.40900372585982 47.32509715159451),POINT (2748936.369 1243450.832),9.40900372585982,47.32509715159451
1712113,1004,1020,1110,3101,Appenzell,AI,POINT (9.408834333396547 47.32491795937486),POINT (2748924.068 1243430.594),9.408834333396547,47.32491795937486
1712114,1004,1030,1121,3101,Appenzell,AI,POINT (9.40874787173954 47.32466576866526),POINT (2748918.238 1243402.4),9.40874787173954,47.32466576866526
1712115,1004,1020,1110,3101,Appenzell,AI,POINT (9.408498626071689 47.32474883205395),POINT (2748899.17 1243411.159),9.408498626071689,47.32474883205395
1712116,1004,1020,1110,3101,Appenzell,AI,POINT (9.408517937410721 47.325032328376665),POINT (2748899.838 1243442.705),9.408517937410721,47.325032328376665
1712117,1004,1020,1110,3101,Appenzell,AI,POINT (9.408273370923654 47.324839087884406),POINT (2748881.895 1243420.763),9.408273370923654,47.324839087884406
1712118,1004,1020,1110,3101,Appenzell,AI,POINT (9.408285495843288 47.325103236961695),POINT (2748882.074 1243450.145),9.408285495843288,47.325103236961695
1712119,1004,1020,1121,3101,Appenzell,AI,POINT (9.407853470667206 47.325358027556774),POINT (2748848.714 1243477.644),9.407853470667206,47.325358027556774
1712121,1004,1020,1110,3101,Appenzell,AI,POINT (9.408007040137159 47.32586270447919),POINT (2748858.911 1243534.028),9.408007040137159,47.32586270447919
1712122,1004,1020,1110,3101,Appenzell,AI,POINT (9.40782209602409 47.325975087993385),POINT (2748844.621 1243546.168),9.40782209602409,47.325975087993385
1712123,1004,1020,1110,3101,Appenzell,AI,POINT (9.407601664141188 47.326241659294986),POINT (2748827.219 1243575.378),9.407601664141188,47.326241659294986
