egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
101170303,1004,1020,1110,3102,Gonten,AI,POINT (2743992.245 1243560.677)
101170401,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2750676.192 1243240.457)
101170406,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2750821.981 1243328.189)
101170408,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2752664.04 1240407.559)
101170413,1004,1040,1251,3112,Schwende-Rüte,AI,POINT (2751035.484 1241987.223)
101170423,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2751129.401 1241969.621)
101170424,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2750896.137 1243381.279)
101170427,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2751069.72 1241977.388)
101170555,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (2745603.137 1247754.442)
101170565,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (2745709.221 1247896.44)
101170577,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (2745569.795 1247736.757)
101170578,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (2747595.599 1249218.395)
101170579,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (2747973.188 1246981.045)
101170589,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (2745729.644 1248330.535)
101170591,1004,1020,1110,3104,Schlatt-Haslen,AI,POINT (2745733.158 1248307.599)
101170594,1004,1030,1122,3104,Schlatt-Haslen,AI,POINT (2745723.165 1248370.917)
101170596,1004,1020,1122,3104,Schlatt-Haslen,AI,POINT (2745755.283 1248312.156)
101170603,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749606.003 1243280.992)
101170604,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749437.483 1243063.31)
101170605,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749907.072 1243448.352)
101170610,1004,1020,1110,3112,Schwende-Rüte,AI,POINT (2749631.859 1243278.963)
101170701,1004,1020,1110,3111,Oberegg,AI,POINT (2759507.077 1251686.473)
101170702,1004,1020,1110,3111,Oberegg,AI,POINT (2759061.431 1254600.145)
101170703,1004,1020,1110,3111,Oberegg,AI,POINT (2756868.913 1251799.59)
101170706,1004,1020,1110,3111,Oberegg,AI,POINT (2759557.654 1251684.843)
101170715,1004,1020,1110,3111,Oberegg,AI,POINT (2759427.517 1255025.52)
101170719,1004,1020,1110,3111,Oberegg,AI,POINT (2759090.79 1254632.108)
101170741,1004,1020,1110,3111,Oberegg,AI,POINT (2759539.475 1251637.859)
101170743,1004,1020,1110,3111,Oberegg,AI,POINT (2763682.325 1256075.879)
