,EGID,officialBuildingNo,east,north,originOfCoordinates,buildingStatus,buildingCategory,buildingClass,dateOfConstruction,periodOfConstruction,surfaceAreaOfBuilding,numberOfFloors,heatGeneratorHeating,energySourceHeating,informationSourceHeating,revisionDateHeating,heatGeneratorHotWater,revisionDateWarmWater,createDate,updateDate,EGAID,EntranceNo,IsOfficialAddress,CoordinateEast,CoordinateNorth,EWID,YearOfConstruction,NumberOfRooms,Floor,SurfaceArea
0,140609,1061,2683830.021,1246875.033,901,1004,1030,1122,1899-01,8011,341,5,7430,7530,859,2018-01-03,7630,2018-01-03,2001-11-29,2021-11-09,100118406,2,1,2683824.953,1246871.042,1,1999,2,3101,136
1,140609,1061,2683830.021,1246875.033,901,1004,1030,1122,1899-01,8011,341,5,7430,7530,859,2018-01-03,7630,2018-01-03,2001-11-29,2021-11-09,100118406,2,1,2683824.953,1246871.042,2,1999,2,3100,78
2,140609,1061,2683830.021,1246875.033,901,1004,1030,1122,1899-01,8011,341,5,7430,7530,859,2018-01-03,7630,2018-01-03,2001-11-29,2021-11-09,100118406,2,1,2683824.953,1246871.042,3,1999,3,3101,123
3,140609,1061,2683830.021,1246875.033,901,1004,1030,1122,1899-01,8011,341,5,7430,7530,859,2018-01-03,7630,2018-01-03,2001-11-29,2021-11-09,100118406,2,1,2683824.953,1246871.042,4,1999,7,3102,408
4,140609,1061,2683830.021,1246875.033,901,1004,1030,1122,1899-01,8011,341,5,7430,7530,859,2018-01-03,7630,2018-01-03,2001-11-29,2021-11-09,100118406,2,1,2683824.953,1246871.042,6,1999,3,3101,123
5,140609,1061,2683830.021,1246875.033,901,1004,1030,1122,1899-01,8011,341,5,7430,7530,859,2018-01-03,7630,2018-01-03,2001-11-29,2021-11-09,100118406,2,1,2683824.953,1246871.042,5,1999,3,3103,123
6,140610,AA01062,2683817.637,1246892.76,901,1004,1040,1220,1899-01,8011,195,5,7430,7520,859,2020-10-19,7630,2020-10-19,2001-11-29,2023-07-10,100118407,4,1,2683816.97,1246892.656,1,1999,2,3103,144
7,140610,AA01062,2683817.637,1246892.76,901,1004,1040,1220,1899-01,8011,195,5,7430,7520,859,2020-10-19,7630,2020-10-19,2001-11-29,2023-07-10,100118407,4,1,2683816.97,1246892.656,2,1999,5,3101,128
8,140610,AA01062,2683817.637,1246892.76,901,1004,1040,1220,1899-01,8011,195,5,7430,7520,859,2020-10-19,7630,2020-10-19,2001-11-29,2023-07-10,100118407,4,1,2683816.97,1246892.656,3,1999,5,3102,128
9,140610,AA01062,2683817.637,1246892.76,901,1004,1040,1220,1899-01,8011,195,5,7430,7520,859,2020-10-19,7630,2020-10-19,2001-11-29,2023-07-10,100118407,4,1,2683816.97,1246892.656,4,1999,5,3100,128
